Time	Channel A  550ms
(ms)	(V)

84.57121000	0.12757900
84.57322000	0.12757900
84.57523000	0.13734590
84.57726000	0.11781220
84.57927000	0.11781220
84.58128000	0.11292880
84.58330000	0.10316200
84.58532000	0.13246250
84.58733000	0.11292880
84.58935000	0.11781220
84.59137000	0.11781220
84.59338000	0.11781220
84.59540000	0.10316200
84.59741000	0.10804540
84.59943000	0.12269560
84.60145000	0.12757900
84.60346000	0.11292880
84.60548000	0.11292880
84.60749000	0.11781220
84.60951000	0.13246250
84.61153000	0.12269560
84.61354000	0.12269560
84.61555000	0.12269560
84.61757000	0.12269560
84.61959000	0.11781220
84.62160000	0.12757900
84.62362000	0.14222930
84.62564000	0.12269560
84.62765000	0.11781220
84.62967000	0.12269560
84.63168000	0.10804540
84.63370000	0.10804540
84.63572000	0.11781220
84.63773000	0.12269560
84.63975000	0.10316200
84.64176000	0.12269560
84.64378000	0.11292880
84.64579000	0.11781220
84.64781000	0.12757900
84.64983000	0.11781220
84.65184000	0.10316200
84.65386000	0.09827860
84.65588000	0.12269560
84.65789000	0.11292880
84.65991000	0.13246250
84.66193000	0.13246250
84.66394000	0.13734590
84.66595000	0.12757900
84.66798000	0.11781220
84.66998000	0.11781220
84.67200000	0.10316200
84.67403000	0.11781220
84.67603000	0.09339519
84.67805000	0.12269560
84.68007000	0.12269560
84.68208000	0.13734590
84.68410000	0.13734590
84.68612000	0.12269560
84.68813000	0.12757900
84.69015000	0.13246250
84.69216000	0.11781220
84.69418000	0.10804540
84.69620000	0.10316200
84.69821000	0.12269560
84.70023000	0.11292880
84.70225000	0.11292880
84.70425000	0.11292880
84.70628000	0.15199610
84.70830000	0.12757900
84.71030000	0.11292880
84.71233000	0.13246250
84.71434000	0.11781220
84.71635000	0.09827860
84.71837000	0.13246250
84.72039000	0.10316200
84.72240000	0.11292880
84.72442000	0.09339519
84.72644000	0.12269560
84.72845000	0.12269560
84.73047000	0.14222930
84.73249000	0.11781220
84.73450000	0.13734590
84.73652000	0.15687950
84.73853000	0.12757900
84.74055000	0.13734590
84.74256000	0.13734590
84.74458000	0.13734590
84.74660000	0.13246250
84.74861000	0.14711270
84.75063000	0.13246250
84.75264000	0.11781220
84.75466000	0.14222930
84.75668000	0.13734590
84.75869000	0.14222930
84.76071000	0.11781220
84.76273000	0.14711270
84.76474000	0.11781220
84.76675000	0.11781220
84.76877000	0.13246250
84.77079000	0.13246250
84.77280000	0.11292880
84.77482000	0.12269560
84.77683000	0.12269560
84.77885000	0.12269560
84.78086000	0.10804540
84.78288000	0.12269560
84.78490000	0.09339519
84.78691000	0.12269560
84.78893000	0.11781220
84.79095000	0.12269560
84.79296000	0.11292880
84.79498000	0.13246250
84.79700000	0.13246250
84.79901000	0.11292880
84.80103000	0.12269560
84.80305000	0.09827860
84.80505000	0.10316200
84.80708000	0.11781220
84.80910000	0.11292880
84.81110000	0.11292880
84.81313000	0.12269560
84.81514000	0.12269560
84.81715000	0.11781220
84.81918000	0.12757900
84.82119000	0.12269560
84.82320000	0.13734590
84.82522000	0.12269560
84.82724000	0.13246250
84.82925000	0.13734590
84.83127000	0.13734590
84.83329000	0.12269560
84.83530000	0.13246250
84.83732000	0.12757900
84.83933000	0.15687950
84.84135000	0.11781220
84.84337000	0.11781220
84.84538000	0.11781220
84.84740000	0.10316200
84.84941000	0.10316200
84.85143000	0.11292880
84.85344000	0.13734590
84.85546000	0.12269560
84.85748000	0.12269560
84.85949000	0.09827860
84.86151000	0.11292880
84.86352000	0.11292880
84.86554000	0.10804540
84.86756000	0.13246250
84.86957000	0.12757900
84.87159000	0.10316200
84.87360000	0.14711270
84.87562000	0.14222930
84.87763000	0.12757900
84.87965000	0.13246250
84.88167000	0.12757900
84.88368000	0.13734590
84.88570000	0.12269560
84.88771000	0.13246250
84.88973000	0.12269560
84.89175000	0.13734590
84.89376000	0.11781220
84.89578000	0.13734590
84.89780000	0.15199610
84.89981000	0.12757900
84.90182000	0.13246250
84.90385000	0.13246250
84.90586000	0.13246250
84.90788000	0.13734590
84.90990000	0.13246250
84.91190000	0.11781220
84.91393000	0.12269560
84.91595000	0.12757900
84.91795000	0.10804540
84.91998000	0.12757900
84.92199000	0.11781220
84.92400000	0.14711270
84.92602000	0.13734590
84.92804000	0.13734590
84.93005000	0.12757900
84.93207000	0.13246250
84.93408000	0.12757900
84.93610000	0.15687950
84.93812000	0.13734590
