Time	Channel A
(ms)	(V)

-4.65254400	0.12208520
-4.65203200	0.11720180
-4.65152000	0.11231840
-4.65100800	0.12696860
-4.65049600	0.10743500
-4.64998400	0.10255160
-4.64947200	0.13185200
-4.64896000	0.12696860
-4.64844800	0.11720180
-4.64793600	0.12208520
-4.64742400	0.10743500
-4.64691200	0.11720180
-4.64640000	0.12208520
-4.64588800	0.13185200
-4.64537600	0.12208520
-4.64486400	0.12696860
-4.64435200	0.12208520
-4.64384000	0.12696860
-4.64332800	0.09278476
-4.64281600	0.10255160
-4.64230400	0.13673540
-4.64179200	0.12208520
-4.64128000	0.12208520
-4.64076800	0.11231840
-4.64025600	0.09766817
-4.63974400	0.08790135
-4.63923200	0.11231840
-4.63872000	0.10255160
-4.63820800	0.11720180
-4.63769600	0.10255160
-4.63718400	0.09278476
-4.63667200	0.09766817
-4.63616000	0.10255160
-4.63564800	0.10743500
-4.63513600	0.11720180
-4.63462400	0.10255160
-4.63411200	0.09766817
-4.63360000	0.12208520
-4.63308800	0.11720180
-4.63257600	0.13185200
-4.63206400	0.12208520
-4.63155200	0.09278476
-4.63104000	0.08790135
-4.63052800	0.11231840
-4.63001600	0.10743500
-4.62950400	0.11231840
-4.62899200	0.09278476
-4.62848000	0.10255160
-4.62796800	0.10255160
-4.62745600	0.10743500
-4.62694400	0.10743500
-4.62643200	0.11231840
-4.62592000	0.11720180
-4.62540800	0.12208520
-4.62489600	0.11231840
-4.62438400	0.12208520
-4.62387200	0.10743500
-4.62336000	0.10743500
-4.62284800	0.10255160
-4.62233600	0.09766817
-4.62182400	0.10743500
-4.62131200	0.10743500
-4.62080000	0.11231840
-4.62028800	0.09766817
-4.61977600	0.12208520
-4.61926400	0.10255160
-4.61875200	0.08790135
-4.61824000	0.10743500
-4.61772800	0.10743500
-4.61721600	0.10255160
-4.61670400	0.12208520
-4.61619200	0.10255160
-4.61568000	0.11720180
-4.61516800	0.11720180
-4.61465600	0.11231840
-4.61414400	0.12696860
-4.61363200	0.12208520
-4.61312000	0.12696860
-4.61260800	0.11720180
-4.61209600	0.09278476
-4.61158400	0.13673540
-4.61107200	0.12208520
-4.61056000	0.14650230
-4.61004800	0.10255160
-4.60953600	0.10743500
-4.60902400	0.10255160
-4.60851200	0.09766817
-4.60800000	0.12208520
-4.60748800	0.09278476
-4.60697600	0.11231840
-4.60646400	0.12208520
-4.60595200	0.11720180
-4.60544000	0.11231840
-4.60492800	0.12208520
-4.60441600	0.11720180
-4.60390400	0.08790135
-4.60339200	0.11720180
-4.60288000	0.12208520
-4.60236800	0.12208520
-4.60185600	0.11231840
-4.60134400	0.11231840
-4.60083200	0.09766817
-4.60032000	0.10743500
-4.59980800	0.12696860
-4.59929600	0.12208520
-4.59878400	0.13185200
-4.59827200	0.10743500
-4.59776000	0.10255160
-4.59724800	0.11231840
-4.59673600	0.10255160
-4.59622400	0.12208520
-4.59571200	0.12208520
-4.59520000	0.13185200
-4.59468800	0.12696860
-4.59417600	0.12208520
-4.59366400	0.12696860
-4.59315200	0.12208520
-4.59264000	0.11720180
-4.59212800	0.09766817
-4.59161600	0.13185200
-4.59110400	0.12696860
-4.59059200	0.11720180
-4.59008000	0.11231840
-4.58956800	0.13185200
-4.58905600	0.13185200
-4.58854400	0.12696860
-4.58803200	0.14650230
-4.58752000	0.15626910
-4.58700800	0.13185200
-4.58649600	0.14161880
-4.58598400	0.14650230
-4.58547200	0.13185200
-4.58496000	0.11720180
-4.58444800	0.10743500
-4.58393600	0.14161880
-4.58342400	0.13673540
-4.58291200	0.13185200
-4.58240000	0.11720180
-4.58188800	0.14161880
-4.58137600	0.13673540
-4.58086400	0.13185200
-4.58035200	0.10743500
-4.57984000	0.11231840
-4.57932800	0.11231840
-4.57881600	0.13185200
-4.57830400	0.10743500
-4.57779200	0.12208520
-4.57728000	0.11720180
-4.57676800	0.14161880
-4.57625600	0.13673540
-4.57574400	0.14161880
-4.57523200	0.14650230
-4.57472000	0.12208520
-4.57420800	0.12696860
-4.57369600	0.11720180
-4.57318400	0.13673540
-4.57267200	0.12696860
-4.57216000	0.13185200
-4.57164800	0.14650230
-4.57113600	0.12208520
-4.57062400	0.13673540
-4.57011200	0.13185200
-4.56960000	0.11231840
-4.56908800	0.12208520
-4.56857600	0.12208520
-4.56806400	0.11720180
-4.56755200	0.12696860
-4.56704000	0.12696860
-4.56652800	0.12696860
-4.56601600	0.13673540
-4.56550400	0.12208520
-4.56499200	0.12208520
-4.56448000	0.11231840
-4.56396800	0.12696860
-4.56345600	0.12208520
-4.56294400	0.11231840
-4.56243200	0.11720180
-4.56192000	0.12208520
-4.56140800	0.12208520
-4.56089600	0.14161880
-4.56038400	0.12208520
-4.55987200	0.12696860
-4.55936000	0.12208520
-4.55884800	0.13185200
-4.55833600	0.11720180
-4.55782400	0.12696860
-4.55731200	0.13185200
-4.55680000	0.12696860
-4.55628800	0.14161880
-4.55577600	0.12696860
-4.55526400	0.10743500
-4.55475200	0.12208520
-4.55424000	0.13673540
-4.55372800	0.13185200
-4.55321600	0.12208520
-4.55270400	0.13185200
-4.55219200	0.14650230
-4.55168000	0.12696860
-4.55116800	0.14650230
